rollout/success rate,train/critic_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total timesteps,train/actor_loss,train/n_updates,train/learning_rate
0.0,21.713872621536254,5943.65,941,6863,1511,-8962.11321655,6458970,189.15584594726562,6298674,0.001
0.0,,5932.67,940,6867,1512,-8958.16604276,6459108,,,
0.0,21.7588442363739,5965.15,933,6923,1513,-8965.447358440002,6462688,188.68199981689452,6302674,0.001
0.0,22.24200179862976,5973.38,930,6945,1514,-8966.971541,6464173,187.876591217041,6303674,0.001
0.0,21.283366215705872,6071.85,910,7110,1515,-9889.750743520002,6474173,187.18172509765625,6313674,0.001
0.0,20.408949894905092,6071.85,893,7255,1516,-9875.976912160002,6484173,187.40701953125,6323674,0.001
0.0,20.33218773841858,6169.63,877,7403,1517,-10001.91654271,6494173,187.53463986206054,6333674,0.001
0.0,20.5836999168396,6097.85,872,7449,1518,-9330.23503004,6496995,187.39942669677734,6336674,0.001
0.0,20.30780807876587,6097.85,856,7597,1519,-9343.51536788,6506995,186.07255993652345,6346674,0.001
0.0,20.515967348098755,6089.11,849,7669,1520,-9343.02328201,6511678,186.2128225402832,6351674,0.001
0.0,20.359277235984802,6181.65,834,7816,1521,-9483.297955869999,6521678,186.44706866455078,6361674,0.001
0.0,19.717327989578248,6181.65,820,7963,1522,-9474.181187279999,6531678,185.98253521728515,6371674,0.001
0.0,,6179.22,819,7969,1523,-9474.099051510002,6531998,,,
0.0,19.433212450027465,6179.22,806,8114,1524,-9338.92256043,6541998,186.42077862548828,6381674,0.001
0.0,19.68944548892975,6179.22,793,8260,1525,-9321.053771870002,6551998,186.35673727416992,6391674,0.001
0.0,,6079.84,792,8264,1526,-9289.1060312,6552060,,,
0.0,18.876790835380554,6178.39,780,8412,1527,-9402.87847488,6562060,185.8383455505371,6401674,0.001
0.0,19.29447618675232,6258.03,767,8565,1528,-9437.33346844,6572060,184.8805739440918,6411674,0.001
0.0,,6247.0,766,8574,1529,-9433.03964941,6572592,,,
0.0,19.5478804063797,6150.23,765,8585,1530,-9400.416287279997,6572915,185.25173803710936,6412674,0.001
0.0,20.008953587532044,6153.84,764,8604,1531,-9440.727118079998,6573978,184.77016088867188,6413674,0.001
0.0,20.949282256126402,6153.84,752,8752,1532,-9402.135655619997,6583978,183.75779760742188,6423674,0.001
0.0,18.09367378234863,6248.73,740,8903,1533,-9487.846420709999,6593978,182.01135528564453,6433674,0.001
0.0,19.442945149421693,6248.73,729,9050,1534,-9534.991950899997,6603978,180.2694214477539,6443674,0.001
0.0,19.10244976520538,6336.38,719,9196,1535,-9619.86473835,6613978,179.7031058654785,6453674,0.001
0.0,19.377788136482238,6337.72,716,9228,1536,-9616.97789787,6615893,179.44870028686523,6455674,0.001
0.0,18.514063270568847,6265.97,713,9275,1537,-9594.451205639998,6618718,178.8188063659668,6458674,0.001
0.0,18.843481463432312,6304.71,703,9426,1538,-9664.21849806,6628718,178.779921875,6468674,0.001
0.0,17.67439920902252,6308.73,697,9518,1539,-9647.8028478,6634713,177.36848693847656,6474674,0.001
0.0,20.01790682601929,6353.85,691,9598,1540,-9683.16177077,6640059,177.34772381591796,6479674,0.001
0.0,,6258.16,691,9605,1541,-9624.67047984,6640474,,,
0.0,18.55438893508911,6260.08,690,9616,1542,-9625.42910032,6640817,177.72060498046875,6480674,0.001
0.0,,6164.2,690,9623,1543,-9572.7764487,6641229,,,
0.0,19.453734152793885,6164.2,680,9772,1544,-9049.42619591,6651229,177.10467370605468,6490674,0.001
0.0,20.362393138885498,6222.4,670,9930,1545,-9674.84688406,6661229,178.79580520629884,6500674,0.001
0.0,19.809224369049073,6282.83,661,10077,1546,-9813.96820522,6671229,180.33248562622072,6510674,0.001
0.0,19.300698822021484,6352.8,653,10227,1547,-9998.78374308,6681229,180.59270455932617,6520674,0.001
0.0,18.774831446647646,6290.32,649,10284,1548,-9955.60532254,6684981,180.46659155273437,6524674,0.001
0.0,,6196.29,649,10293,1549,-9648.05416968,6685578,,,
0.0,19.820358671188355,6203.84,648,10319,1550,-9648.36591496,6686876,180.24722372436523,6526674,0.001
0.0,19.480351811408998,6244.91,644,10388,1551,-9660.50278251,6691553,178.74705288696288,6530674,0.001
0.0,19.745545583724976,6278.76,640,10446,1552,-9689.01394001,6695139,179.09240731811522,6534674,0.001
0.0,,6210.51,640,10453,1553,-9660.839293949999,6695551,,,
0.0,20.602290360450745,6176.58,634,10555,1554,-9667.67474648,6701817,179.07390716552734,6541674,0.001
