train/n_updates,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,time/fps,rollout/success rate,train/actor_loss,rollout/ep_len_mean,train/learning_rate,time/total timesteps
4000674,2424,1146,-22166.00337086,835.535319519043,1716,0.0,786.8711602783203,4216.92,0.001,4161244
4010674,2571,1147,-22243.462083520004,836.3955073242188,1622,0.0,769.1487012939454,4306.04,0.001,4171244
4012674,2605,1148,-21991.329307170006,794.6995986938476,1601,0.0,768.7250666503907,4288.2,0.001,4173460
4020674,2717,1149,-22115.052087780008,743.4465824279786,1538,0.0,761.6024384765625,4346.65,0.001,4180712
4030674,2865,1150,-22245.754052460004,725.1599616088868,1462,0.0,751.8599610595703,4446.64,0.001,4190712
4035674,2950,1151,-22549.759112500004,660.8858517456055,1422,0.0,745.783822631836,4462.19,0.001,4196267
4041674,3044,1152,-22829.335358310003,632.3985663757325,1380,0.0,740.0649765625,4481.03,0.001,4202151
4043674,3072,1153,-22669.39447306,634.8260210266113,1368,0.0,737.4209814453125,4456.74,0.001,4203722
4053674,3225,1154,-22897.22077864,611.2204351196289,1306,0.0,728.4039212646485,4516.74,0.001,4213722
,3232,1155,-22693.397827000004,,1303,0.0,,4480.97,,4214145
4063674,3391,1156,-23085.92297156,545.2755473937988,1245,0.0,716.0609304199219,4540.97,0.001,4224145
4066674,3440,1157,-23235.366947900002,559.7041914672851,1228,0.0,711.8113592529297,4548.34,0.001,4227073
4068674,3474,1158,-23020.7755925,553.6444081726074,1217,0.0,710.915478881836,4531.84,0.001,4229423
4072674,3532,1159,-22821.876408860004,552.0690586547852,1198,0.0,706.2243724365235,4527.95,0.001,4233034
4082674,3702,1160,-23135.926118670002,536.7747848510742,1145,0.0,692.5495186767578,4587.95,0.001,4243034
,3711,1161,-22742.006881810004,,1143,0.0,,4554.14,,4243653
4085674,3752,1162,-22484.32406683,527.8215570678711,1131,0.0,689.5411027832031,4538.03,0.001,4246042
,3758,1163,-22266.165430689998,,1129,0.0,,4501.89,,4246428
4089674,3814,1164,-22309.72382918,507.4570729980469,1114,0.0,685.2793345947266,4534.55,0.001,4249880
4091674,3852,1165,-22091.658028929996,547.4886911010742,1103,0.0,684.8530883789062,4520.31,0.001,4252456
4101674,4003,1166,-22332.528217479998,479.41334140014646,1064,0.0,677.5567568359374,4600.87,0.001,4262456
4102674,4020,1167,-22330.554790730006,479.3059271240234,1060,0.0,675.947385131836,4605.79,0.001,4263421
4104674,4048,1168,-22304.941323540006,471.3095023803711,1053,0.0,674.27401171875,4614.06,0.001,4265014
4114674,4200,1169,-22450.090583100005,460.45885870361326,1017,0.0,667.3696907958985,4674.06,0.001,4275014
4124674,4348,1170,-22407.41537858,435.74649578857424,985,0.0,655.4027741699218,4734.06,0.001,4285014
4134674,4497,1171,-22497.09132475,398.72283404541014,955,0.0,644.2051156005859,4819.58,0.001,4295014
4144674,4648,1172,-22795.477703409997,391.0358172912598,926,0.0,638.7227696533203,4909.24,0.001,4305014
4154674,4813,1173,-23353.775738959997,393.25911334228516,896,0.0,630.5324813232422,4969.24,0.001,4315014
4164674,4960,1174,-23371.35785774,386.9828987121582,871,0.0,623.9851700439453,5036.34,0.001,4325014
4165674,4979,1175,-23029.687154839998,357.9469312286377,868,0.0,624.5854818115234,5008.19,0.001,4326199
4166674,4998,1176,-23032.884601230002,382.1973395233154,865,0.0,624.3931018066406,5008.29,0.001,4327390
4176674,5148,1177,-22974.704281939998,376.8714044494629,842,0.0,618.8531599121094,5068.29,0.001,4337390
4186674,5295,1178,-23042.749309169998,347.9120798034668,820,0.0,611.0045368652344,5163.88,0.001,4347390
4196674,5449,1179,-23404.608485129997,341.6864962005615,799,0.0,606.1610836181641,5223.88,0.001,4357390
4198674,5474,1180,-23088.657474450003,335.74878791809084,796,0.0,603.6545047607422,5197.07,0.001,4358709
,5481,1181,-22676.652742020004,,795,0.0,,5160.55,,4359057
4208674,5628,1182,-22407.249714780002,314.8173379364014,776,0.0,593.8917532958984,5220.55,0.001,4369057
4218674,5791,1183,-22954.691298470003,307.2390012817383,756,0.0,590.4910994873047,5297.03,0.001,4379057
4220674,5827,1184,-22838.10602044,315.2572526397705,751,0.0,588.2639252929688,5281.5,0.001,4381504
4222674,5853,1185,-22825.212429450006,319.1729062652588,748,0.0,588.2765086669922,5283.5,0.001,4382856
4223674,5870,1186,-22665.927655310003,338.5581534729004,746,0.0,586.9989991455078,5253.81,0.001,4383887
4226674,5915,1187,-22383.426624160005,323.99236389160154,741,0.0,586.2759599609375,5242.23,0.001,4386729
4236674,6067,1188,-22425.531786770007,330.89893310546876,724,0.0,579.5014346923828,5302.23,0.001,4396729
4238674,6101,1189,-22451.71917672001,296.44618603515624,720,0.0,576.5878221435547,5318.67,0.001,4398979
4239674,6122,1190,-22212.986578570002,311.94243580627443,718,0.0,577.1007451171874,5292.16,0.001,4400328
4245674,6213,1191,-22270.650116840006,283.46683782958985,709,0.0,572.123685546875,5308.72,0.001,4405984
4255674,6359,1192,-22328.693121310007,295.3947565307617,694,0.0,561.3247192382812,5392.27,0.001,4415984
4256674,6375,1193,-22003.69506734001,283.7907054901123,692,0.0,560.585461303711,5360.95,0.001,4416852
4260674,6441,1194,-21829.02292133001,303.26900587463376,686,0.0,557.639099975586,5365.94,0.001,4421351
4270674,6589,1195,-21728.052364820003,275.8262925567627,672,0.0,551.2732648925781,5425.94,0.001,4431351
4271674,6602,1196,-21702.7496029,291.8020871276855,671,0.0,551.6923416748047,5395.05,0.001,4431819
4281674,6748,1197,-21496.372041910003,271.23679086303713,658,0.0,540.204226196289,5455.05,0.001,4441819
4290674,6888,1198,-21464.84087618,270.16627740478515,646,0.0,534.3930548706055,5512.32,0.001,4451546
4300674,7035,1199,-21140.73920584,229.31083934020995,634,0.0,529.8257701416015,5572.32,0.001,4461546
4310674,7182,1200,-21136.04907546,239.10209826660156,622,0.0,523.0350891113281,5656.28,0.001,4471546
4320674,7331,1201,-21170.36024869,242.34390528869628,611,0.0,517.1786879272461,5716.28,0.001,4481546
4330674,7478,1202,-20889.75219554,232.4949479675293,600,0.0,511.37669061279297,5776.28,0.001,4491546
4340674,7625,1203,-20909.94811682,216.00748439025878,590,0.0,508.78169616699216,5836.28,0.001,4501546
4350674,7771,1204,-20587.2984939,221.1914952697754,580,0.0,503.29003637695314,5896.28,0.001,4511546
4360674,7920,1205,-20707.679374990003,218.00629635620118,570,0.0,500.3911279907227,5956.28,0.001,4521546
4370674,8066,1206,-20667.355530270004,204.9088655395508,561,0.0,492.60836773681643,6033.73,0.001,4531546
4380674,8218,1207,-20789.907523970003,201.55433149719238,552,0.0,488.6993231201172,6093.73,0.001,4541546
4383674,8263,1208,-20537.07048143,209.73598367309572,549,0.0,486.2435354614258,6081.52,0.001,4544325
4393674,8409,1209,-20571.93258158,202.14983840942384,541,0.0,481.46680657958984,6167.3,0.001,4554325
4403674,8558,1210,-20640.59763098,203.3320146636963,533,0.0,473.14409240722654,6227.3,0.001,4564325
4413674,8707,1211,-20590.79863264,216.50008634185792,525,0.0,470.955493347168,6287.3,0.001,4574325
4421674,8825,1212,-20334.18093007,193.62622859954834,519,0.0,466.0673638916016,6327.22,0.001,4582317
4431674,8979,1213,-20667.912252,193.9234411239624,511,0.0,464.24980145263675,6387.22,0.001,4592317
4441674,9126,1214,-20670.08778368,175.70826657104493,504,0.0,462.62839123535156,6447.22,0.001,4602317
4444674,9167,1215,-20343.52143701,179.65315969848632,502,0.0,461.514701171875,6432.22,0.001,4604817
4454674,9314,1216,-20313.207233229998,166.92373655700683,495,0.0,457.3162262573242,6492.22,0.001,4614817
,9319,1217,-20238.505644069995,,495,0.0,,6453.44,,4614939
4461674,9421,1218,-20170.89685884,169.15472383117677,490,0.0,453.49255352783206,6481.96,0.001,4621791
4471674,9576,1219,-20321.973820969997,167.74863262939454,483,0.0,449.48313714599607,6541.96,0.001,4631791
