time/episodes,time/total timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success rate,time/time_elapsed,time/fps,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
581,2091167,3666.16,-18388.82077073,0.0,2034,1027,1927167,0.001,720.1289445105782,541.393699253831
582,2095167,3696.09,-18720.232967170003,0.0,2132,982,1931167,0.001,717.9972490997314,542.8398933105469
583,2099167,3696.09,-18572.87223476,0.0,2225,943,1935167,0.001,713.41601121521,545.7733317565918
584,2102320,3687.62,-18816.76710312,0.0,2314,908,1939167,0.001,723.7596995239257,546.743524810791
585,2105883,3691.16,-18737.366752540005,0.0,2390,880,1942320,0.001,730.6715422780635,549.7516183798723
586,2109883,3691.16,-18821.204530400002,0.0,2479,850,1945883,0.001,741.5102070892189,552.2154780221347
587,2113883,3691.16,-18777.14152385,0.0,2572,821,1949883,0.001,737.1726200256347,552.8848200378418
588,2117883,3691.16,-18787.19326786,0.0,2672,792,1953883,0.001,740.454071182251,555.0787602539062
589,2121883,3691.16,-18608.55882091,0.0,2766,767,1957883,0.001,732.3757565917969,559.1271662902832
590,2125883,3711.26,-18674.38144234,0.0,2858,743,1961883,0.001,727.3489705810547,559.2341047668457
591,2129883,3745.0,-18853.11028469,0.0,2951,721,1965883,0.001,746.1170629577637,561.7290009155273
592,2133883,3745.0,-18648.74546736,0.0,3042,701,1969883,0.001,781.02885105896,565.9210251464843
593,2137883,3745.0,-18683.44630159,0.0,3134,682,1973883,0.001,727.1933053283691,565.8989057617188
594,2141883,3745.0,-18529.567817590003,0.0,3226,663,1977883,0.001,720.7221244506836,566.0412536621094
595,2145883,3745.0,-18287.577978630005,0.0,3317,646,1981883,0.001,725.3750958862305,566.3827052001953
596,2149883,3745.0,-18472.678330060004,0.0,3417,629,1985883,0.001,719.1352740020752,565.149596282959
597,2153883,3745.0,-18433.947726870003,0.0,3509,613,1989883,0.001,711.4810062408447,566.9297247924804
598,2154370,3709.87,-18377.49575922,0.0,3567,603,1993883,0.001,710.3425742645263,566.0973606872559
599,2158370,3709.87,-18379.734609749998,0.0,3615,597,1994370,0.001,701.5614779431228,565.3921721411533
600,2162370,3709.87,-18330.12011526,0.0,3707,583,1998370,0.001,716.2213573913574,566.4501993408203
601,2166370,3709.87,-18419.840160390002,0.0,3799,570,2002370,0.001,723.1427767944336,564.1322467956543
602,2170132,3707.49,-18652.25555211,0.0,3892,557,2006370,0.001,718.8982299346924,564.967426147461
603,2174132,3707.49,-18493.11320166,0.0,3979,546,2010132,0.001,694.6205154573074,563.0981439796298
604,2178132,3707.49,-18696.516244399998,0.0,4076,534,2014132,0.001,705.1002808380127,561.7915000610352
605,2182132,3707.49,-18937.43308799,0.0,4171,523,2018132,0.001,691.9137425537109,561.9079378662109
606,2186132,3707.49,-18975.211470039998,0.0,4266,512,2022132,0.001,695.0338442382813,561.2459372863769
607,2190132,3707.49,-19059.914249100002,0.0,4359,502,2026132,0.001,704.0417173614502,560.3071250305176
608,2190507,3671.24,-18692.157415560003,0.0,4416,496,2030132,0.001,701.2169303894043,559.3079520263672
609,2191273,3638.9,-18505.25531825,0.0,4431,494,2030507,0.001,686.8716486002604,558.6103078260779
610,2195273,3638.9,-18389.644515480002,0.0,4482,489,2031273,0.001,693.3509570886199,557.8665105356561
611,2197846,3624.63,-18365.45391173,0.0,4558,482,2035273,0.001,699.5995270233154,556.1624848327637
612,2201846,3648.7,-18416.594257650002,0.0,4633,475,2037846,0.001,704.2138911223902,552.9480601727917
613,2205846,3648.7,-18302.659187650002,0.0,4725,466,2041846,0.001,708.2073137664795,552.7498597717286
614,2206219,3612.43,-18268.40278968,0.0,4781,461,2045846,0.001,682.7459943389892,550.8141473693847
615,2210219,3632.61,-18412.629059889998,0.0,4831,457,2046219,0.001,666.937525854034,549.5657509424353
616,2214219,3632.61,-18349.467033409997,0.0,4923,449,2050219,0.001,692.1974976043701,550.0934927673339
617,2214270,3593.12,-18151.62056611,0.0,4977,444,2054219,0.001,688.3765696105957,548.0405535583496
618,2218270,3593.12,-18182.72795895,0.0,5019,441,2054270,0.001,669.2618874942555,546.0253225473257
619,2222270,3593.12,-18076.930082720002,0.0,5112,434,2058270,0.001,686.425958267212,545.348031829834
