train/critic_loss,train/learning_rate,time/fps,time/total timesteps,time/episodes,rollout/success rate,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
5515.141512939453,0.001,25324,4010000,401,0.0,10853674,-4543.492233398438,581984.14558905,158,10000.0
5497.079735351563,0.001,13119,4020000,402,0.0,10863674,-4549.536772460938,583244.93235864,306,10000.0
5265.290730224609,0.001,8857,4030000,403,0.0,10873674,-4569.340147460937,581787.61480562,454,10000.0
5228.300457763672,0.001,6696,4040000,404,0.0,10883674,-4659.830216796875,591467.47501767,603,10000.0
5105.034232666016,0.001,5383,4050000,405,0.0,10893674,-4719.020681640625,596814.88609172,752,10000.0
5362.407656494141,0.001,4505,4060000,406,0.0,10903674,-4814.56250390625,607601.8207497299,901,10000.0
5398.442798339844,0.001,3878,4070000,407,0.0,10913674,-4868.71814453125,611454.8308880999,1049,10000.0
5287.8721462402345,0.001,3409,4080000,408,0.0,10923674,-4904.67215234375,611228.62004736,1196,10000.0
5234.10083984375,0.001,3042,4090000,409,0.0,10933674,-4947.409012695312,612024.20792991,1344,10000.0
4800.8995808105465,0.001,2734,4100000,410,0.0,10943674,-4931.797939453125,611278.09972673,1499,10000.0
4653.525695800781,0.001,2495,4110000,411,0.0,10953674,-5059.73925,621844.89516804,1646,10000.0
4470.420537353516,0.001,2296,4120000,412,0.0,10963674,-5099.8614169921875,630733.14182998,1794,10000.0
4965.495854248047,0.001,2117,4130000,413,0.0,10973674,-5147.109833984375,631436.7241154199,1950,10000.0
5645.767249511719,0.001,1969,4140000,414,0.0,10983674,-5135.121678710938,631053.9275617899,2102,10000.0
6227.352396240234,0.001,1842,4150000,415,0.0,10993674,-5053.77640625,630187.45146323,2252,10000.0
6061.778106201172,0.001,1730,4160000,416,0.0,11003674,-5060.89906640625,629739.99480271,2403,10000.0
5810.502359130859,0.001,1631,4170000,417,0.0,11013674,-5078.96171484375,627938.13413144,2555,10000.0
5160.2168149414065,0.001,1545,4180000,418,0.0,11023674,-5063.1213125,628424.35793018,2704,10000.0
4850.330897216797,0.001,1467,4190000,419,0.0,11033674,-5151.635849609375,633818.1008268399,2855,10000.0
4756.9181953125,0.001,1398,4200000,420,0.0,11043674,-5182.342455078125,634339.35539932,3002,10000.0
5111.519526855469,0.001,1334,4210000,421,0.0,11053674,-5141.76774609375,627682.8075240601,3154,10000.0
5428.06771459961,0.001,1277,4220000,422,0.0,11063674,-5111.809108398437,626991.26094442,3302,10000.0
5401.223856689453,0.001,1216,4230000,423,0.0,11073674,-5083.256302734375,627012.8694250799,3478,10000.0
5401.146305175781,0.001,1169,4240000,424,0.0,11083674,-5093.109817382812,627166.0832658099,3626,10000.0
5404.758660400391,0.001,1124,4250000,425,0.0,11093674,-5139.880408203125,632438.6131916,3780,10000.0
4967.228171630859,0.001,1084,4260000,426,0.0,11103674,-5283.562583984375,643049.41364986,3929,10000.0
4933.287600097657,0.001,1047,4270000,427,0.0,11113674,-5314.600211914062,641862.18035086,4077,10000.0
4951.9717265625,0.001,1012,4280000,428,0.0,11123674,-5410.056234375,652326.75331123,4225,10000.0
