time/total timesteps,rollout/ep_len_mean,time/fps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/success rate,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
860000,10000.0,110,86,7816,-14789.38682717442,0.0,,,,
870000,10000.0,110,87,7907,-14731.50335750575,0.0,,,,
880000,10000.0,110,88,7997,-14712.866995477274,0.0,,,,
890000,10000.0,110,89,8088,-14652.413632471913,0.0,,,,
900000,10000.0,110,90,8179,-14635.529993944447,0.0,,,,
910000,10000.0,110,91,8270,-14619.842567659343,0.0,,,,
920000,10000.0,110,92,8362,-14683.70139403261,0.0,,,,
930000,10000.0,110,93,8452,-14708.848412322584,0.0,,,,
940000,10000.0,110,94,8542,-14669.358582606386,0.0,,,,
950000,10000.0,110,95,8632,-14561.506940800004,0.0,,,,
960000,10000.0,110,96,8722,-14457.498788947918,0.0,,,,
970000,10000.0,110,97,8812,-14407.520253391755,0.0,,,,
980000,10000.0,110,98,8903,-14392.555218163267,0.0,,,,
990000,10000.0,110,99,8994,-14427.575534565658,0.0,,,,
1000000,10000.0,110,100,9084,-14478.237663130001,0.0,,,,
1010000,10000.0,109,101,9223,-14414.15185027,0.0,29.827143016815185,0.001,7853674,264.5169220275879
1020000,10000.0,108,102,9367,-14248.46215253,0.0,30.529542865753175,0.001,7863674,253.46977252197266
1030000,10000.0,108,103,9512,-14190.626590120002,0.0,34.794194442749024,0.001,7873674,242.07076620483397
1040000,10000.0,107,104,9657,-12382.84896503,0.0,75.88401817703247,0.001,7883674,236.3496892089844
1050000,10000.0,107,105,9802,-11769.405633080003,0.0,146.13323943710327,0.001,7893674,238.26434320068358
1060000,10000.0,106,106,9948,-3604.2970147900005,0.0,267.6095739440918,0.001,7903674,230.83326391601562
1070000,10000.0,106,107,10092,-3357.2004498400033,0.0,409.7505370788574,0.001,7913674,230.5313957824707
1080000,10000.0,105,108,10238,-3008.2793433300003,0.0,429.98784521484373,0.001,7923674,240.01802981567383
1090000,10000.0,104,109,10388,-2976.3284741400025,0.0,545.0041307830811,0.001,7933674,250.2640394897461
1100000,10000.0,104,110,10556,-3915.206965630001,0.0,482.8997784118652,0.001,7943674,266.1684464416504
1110000,10000.0,103,111,10723,-4791.649959830001,0.0,566.440654373169,0.001,7953674,280.96533911132815
1120000,10000.0,103,112,10872,-4525.05327673,0.0,626.9472477264404,0.001,7963674,294.0851875305176
1130000,10000.0,102,113,11036,-5309.768162330001,0.0,611.5890063018799,0.001,7973674,303.66058813476565
1140000,10000.0,101,114,11202,-6057.1380518900005,0.0,665.3948202056885,0.001,7983674,323.93226159667967
1150000,10000.0,101,115,11348,-4265.07491987,0.0,692.5458029937744,0.001,7993674,346.8643299560547
1160000,10000.0,100,116,11493,-3003.9951886500003,0.0,783.4769729919434,0.001,8003674,348.9032685546875
1170000,10000.0,100,117,11637,-3054.2122118400002,0.0,868.5722841339111,0.001,8013674,360.0752723388672
1180000,10000.0,99,118,11808,-3995.783694060001,0.0,931.8995400085449,0.001,8023674,369.48782580566404
