time/fps,time/time_elapsed,time/episodes,rollout/ep_len_mean,rollout/success rate,time/total timesteps,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
324,7709,250,10000.0,0.0,2500000,189378.24517698004,0.001,6919.999845214844,-1084.8644184570312,9343674
318,7875,251,10000.0,0.0,2510000,190389.54030151002,0.001,7272.210214355468,-1098.931515991211,9353674
314,8021,252,10000.0,0.0,2520000,198861.71059316,0.001,7311.048785644532,-1138.7653641357422,9363674
309,8179,253,10000.0,0.0,2530000,202142.10417121006,0.001,7404.1216796875,-1186.8022139892578,9373674
305,8324,254,10000.0,0.0,2540000,209476.20536579005,0.001,7579.322170410156,-1227.4098741455077,9383674
301,8471,255,10000.0,0.0,2550000,209623.74972768,0.001,8136.2139907226565,-1184.2407885742186,9393674
297,8617,256,10000.0,0.0,2560000,218807.73184348003,0.001,8131.714454589844,-1217.2199096679688,9403674
292,8784,257,10000.0,0.0,2570000,218853.30616681,0.001,7639.1655844726565,-1218.0338895263671,9413674
288,8940,258,10000.0,0.0,2580000,220611.39579596996,0.001,7783.97291015625,-1243.1118969726563,9423674
284,9096,259,10000.0,0.0,2590000,224314.29534260998,0.001,7644.40571875,-1278.256606689453,9433674
280,9256,260,10000.0,0.0,2600000,223577.98318927,0.001,7695.463659179687,-1275.564315673828,9443674
277,9419,261,10000.0,0.0,2610000,227576.65718381,0.001,8049.6586748046875,-1273.4052268066407,9453674
273,9593,262,10000.0,0.0,2620000,227553.62002069,0.001,7930.505973144531,-1298.9462836914063,9463674
269,9745,263,10000.0,0.0,2630000,219827.25805052998,0.001,8354.806826660157,-1248.7441157226563,9473674
266,9922,264,10000.0,0.0,2640000,220090.64152915002,0.001,8007.626263671875,-1251.4444802246094,9483674
263,10069,265,10000.0,0.0,2650000,229106.76355028,0.001,7590.8188237304685,-1338.4182683105469,9493674
260,10222,266,10000.0,0.0,2660000,229698.00000343006,0.001,7515.460008789062,-1374.6283699951173,9503674
257,10370,267,10000.0,0.0,2670000,233821.51000506006,0.001,7639.23883203125,-1407.3940638427734,9513674
254,10546,268,10000.0,0.0,2680000,233070.49905819006,0.001,7749.002919921875,-1427.4732189941406,9523674
251,10692,269,10000.0,0.0,2690000,229927.50586814006,0.001,8219.823392578124,-1431.7122739257813,9533674
248,10845,270,10000.0,0.0,2700000,230962.67714715,0.001,8135.721465820313,-1445.7235544433593,9543674
246,10991,271,10000.0,0.0,2710000,241655.55193525003,0.001,8954.057283691407,-1483.0780703125,9553674
244,11140,272,10000.0,0.0,2720000,248169.06295488,0.001,8155.143950195313,-1503.5024152832032,9563674
241,11288,273,10000.0,0.0,2730000,251934.80016140998,0.001,7939.876427734375,-1563.1271604003907,9573674
239,11433,274,10000.0,0.0,2740000,262599.4080852,0.001,7992.834682617187,-1656.243762451172,9583674
237,11579,275,10000.0,0.0,2750000,273367.48161207995,0.001,8480.350970214844,-1751.8397653808593,9593674
235,11724,276,10000.0,0.0,2760000,278560.10611414997,0.001,8957.461524902345,-1734.3054477539063,9603674
233,11869,277,10000.0,0.0,2770000,288410.94226737,0.001,8967.707534667969,-1789.9436196289062,9613674
231,12013,278,10000.0,0.0,2780000,297776.24488789,0.001,9043.2578984375,-1843.2987946777343,9623674
229,12183,279,10000.0,0.0,2790000,288475.56884139,0.001,8303.109112304688,-1882.8610612792968,9633674
227,12330,280,10000.0,0.0,2800000,298040.52735215,0.001,9492.843673828125,-1975.7769025878906,9643674
225,12481,281,10000.0,0.0,2810000,306919.89953506,0.001,8952.931748535157,-2007.833854736328,9653674
223,12636,282,10000.0,0.0,2820000,313579.30712888,0.001,8066.670186035156,-2025.2815874023438,9663674
221,12787,283,10000.0,0.0,2830000,315494.26787544996,0.001,7751.057309570312,-2054.39876171875,9673674
219,12942,284,10000.0,0.0,2840000,312277.66528734,0.001,7568.7741547851565,-2056.2005080566405,9683674
217,13088,285,10000.0,0.0,2850000,322634.65525042004,0.001,7752.379408203125,-2108.822092041016,9693674
216,13234,286,10000.0,0.0,2860000,332664.60465566005,0.001,8268.91977685547,-2187.3833481445313,9703674
214,13379,287,10000.0,0.0,2870000,337743.24632355006,0.001,8014.257600585937,-2268.2130412597658,9713674
212,13526,288,10000.0,0.0,2880000,347295.31226342,0.001,8517.575263183593,-2355.372093261719,9723674
211,13674,289,10000.0,0.0,2890000,347715.62804740004,0.001,8162.28936328125,-2401.1432497558594,9733674
209,13833,290,10000.0,0.0,2900000,338138.08424259,0.001,8076.973073730469,-2350.9771865234375,9743674
207,13995,291,10000.0,0.0,2910000,335794.35216055997,0.001,7789.471079101562,-2343.0000344238283,9753674
206,14155,292,10000.0,0.0,2920000,335659.61003861995,0.001,7850.899592285156,-2350.711440917969,9763674
204,14302,293,10000.0,0.0,2930000,334476.50868097995,0.001,9111.977372070312,-2296.4887165527343,9773674
203,14451,294,10000.0,0.0,2940000,344710.94189493003,0.001,9779.132681152343,-2349.159716308594,9783674
202,14601,295,10000.0,0.0,2950000,344435.38204575004,0.001,9094.356119140624,-2365.1504775390626,9793674
200,14748,296,10000.0,0.0,2960000,345525.11922327004,0.001,8648.198334960938,-2357.501252197266,9803674
199,14893,297,10000.0,0.0,2970000,354866.34890631004,0.001,8110.849380859375,-2411.3716657714845,9813674
198,15039,298,10000.0,0.0,2980000,361657.6080682501,0.001,8221.970671386718,-2436.4005119628905,9823674
196,15191,299,10000.0,0.0,2990000,357086.21866968006,0.001,8179.332612304687,-2428.3430224609374,9833674
195,15337,300,10000.0,0.0,3000000,366875.6305208301,0.001,8734.075786132813,-2469.691201904297,9843674
194,15482,301,10000.0,0.0,3010000,377519.23800029,0.001,8611.436876953125,-2582.9002397460936,9853674
193,15629,302,10000.0,0.0,3020000,382242.05819725007,0.001,9000.00658984375,-2558.2101044921874,9863674
192,15775,303,10000.0,0.0,3030000,391312.89479214,0.001,9087.183766601562,-2588.8030283203125,9873674
190,15972,304,10000.0,0.0,3040000,388610.99158786,0.001,8797.096647949218,-2551.900612792969,9883674
189,16132,305,10000.0,0.0,3050000,393402.3716198399,0.001,9849.264260742188,-2594.004120605469,9893674
187,16329,306,10000.0,0.0,3060000,383970.2575275799,0.001,10015.841244140625,-2508.1735236816407,9903674
186,16482,307,10000.0,0.0,3070000,388221.00804787985,0.001,10173.533436523438,-2510.915876953125,9913674
185,16629,308,10000.0,0.0,3080000,389362.37533342995,0.001,9928.610840820313,-2522.622666503906,9923674
184,16787,309,10000.0,0.0,3090000,398603.67299906997,0.001,9687.238497558594,-2608.459125488281,9933674
183,16934,310,10000.0,0.0,3100000,404993.52515013004,0.001,8704.124434570313,-2703.9597939453124,9943674
181,17094,311,10000.0,0.0,3110000,404928.50433242,0.001,8186.84496484375,-2741.45326171875,9953674
180,17250,312,10000.0,0.0,3120000,406867.7463438,0.001,8424.123561523438,-2841.177235839844,9963674
179,17410,313,10000.0,0.0,3130000,405936.37573216006,0.001,8323.841975097655,-2821.7653745117186,9973674
178,17569,314,10000.0,0.0,3140000,406630.74711088004,0.001,8602.280741210938,-2796.2906923828127,9983674
177,17715,315,10000.0,0.0,3150000,414788.91462375,0.001,8770.625152832032,-2835.750337890625,9993674
176,17861,316,10000.0,0.0,3160000,424494.9985564,0.001,8258.041336914062,-2891.324425292969,10003674
176,18007,317,10000.0,0.0,3170000,434588.5030674599,0.001,8979.966067871093,-2945.480267578125,10013674
175,18155,318,10000.0,0.0,3180000,436829.93926037,0.001,8323.925626953125,-2955.0723271484376,10023674
173,18354,319,10000.0,0.0,3190000,426176.2801066999,0.001,7904.8818872070315,-2877.9744501953123,10033674
172,18508,320,10000.0,0.0,3200000,435062.81047379004,0.001,8132.7327216796875,-2920.04483203125,10043674
172,18654,321,10000.0,0.0,3210000,445896.23216077,0.001,7889.852634277344,-3054.9816484375,10053674
171,18800,322,10000.0,0.0,3220000,455717.62153032,0.001,7806.541514648437,-3182.03151953125,10063674
170,18985,323,10000.0,0.0,3230000,455750.7088371901,0.001,7516.812279296875,-3212.110435546875,10073674
169,19131,324,10000.0,0.0,3240000,456380.47376996005,0.001,7491.589359375,-3252.459502441406,10083674
168,19277,325,10000.0,0.0,3250000,461422.74595465005,0.001,7175.370440429688,-3319.0240180664064,10093674
167,19445,326,10000.0,0.0,3260000,461448.53490036004,0.001,6932.428717285156,-3362.6296655273436,10103674
166,19593,327,10000.0,0.0,3270000,464299.64915973,0.001,7146.078078125,-3462.6861591796874,10113674
165,19763,328,10000.0,0.0,3280000,463522.25133695,0.001,6877.356946777344,-3486.7023383789065,10123674
165,19908,329,10000.0,0.0,3290000,465904.1995482499,0.001,6745.240501464844,-3557.137645996094,10133674
164,20093,330,10000.0,0.0,3300000,460507.74415660003,0.001,6455.707811523437,-3508.16559375,10143674
163,20267,331,10000.0,0.0,3310000,458578.01515742997,0.001,6132.72250390625,-3488.27501953125,10153674
162,20424,332,10000.0,0.0,3320000,458968.73123837,0.001,5843.139650878907,-3512.91969140625,10163674
161,20604,333,10000.0,0.0,3330000,457611.0100971,0.001,5843.739713867188,-3501.980578613281,10173674
160,20776,334,10000.0,0.0,3340000,446840.96622079005,0.001,5981.7577626953125,-3473.597916015625,10183674
159,20964,335,10000.0,0.0,3350000,444141.80691743,0.001,6074.739110351563,-3422.057626953125,10193674
159,21109,336,10000.0,0.0,3360000,445756.9856783401,0.001,6010.209186523438,-3438.5832631835938,10203674
158,21279,337,10000.0,0.0,3370000,445403.61546458,0.001,5688.081123535157,-3481.624439453125,10213674
157,21429,338,10000.0,0.0,3380000,451304.87221495004,0.001,5879.862552734375,-3522.119552734375,10223674
157,21583,339,10000.0,0.0,3390000,453027.25925385,0.001,5983.1647451171875,-3575.326751953125,10233674
156,21760,340,10000.0,0.0,3400000,452188.52031537006,0.001,5992.189776855469,-3506.894123046875,10243674
155,21906,341,10000.0,0.0,3410000,462285.42533627996,0.001,6748.0664453125,-3544.0835493164063,10253674
155,22051,342,10000.0,0.0,3420000,462384.9666294,0.001,6695.083467285156,-3521.4510078125,10263674
154,22211,343,10000.0,0.0,3430000,460955.7763038699,0.001,7331.024725097656,-3442.6107333984373,10273674
153,22356,344,10000.0,0.0,3440000,461685.44125584996,0.001,8038.120947753906,-3306.9818046875,10283674
153,22511,345,10000.0,0.0,3450000,462435.05278339,0.001,7317.9683173828125,-3243.88138671875,10293674
152,22657,346,10000.0,0.0,3460000,465070.70135078003,0.001,6724.000522949219,-3273.2108310546873,10303674
152,22806,347,10000.0,0.0,3470000,475425.5105220901,0.001,6233.048736328125,-3373.2768959960936,10313674
151,22960,348,10000.0,0.0,3480000,480130.46128754,0.001,5954.742661132813,-3389.229013671875,10323674
150,23114,349,10000.0,0.0,3490000,489861.19897572993,0.001,6158.187721191406,-3488.8175869140623,10333674
150,23260,350,10000.0,0.0,3500000,500496.6423492999,0.001,5748.288877929687,-3643.138091796875,10343674
149,23418,351,10000.0,0.0,3510000,507663.1300323699,0.001,5732.890315429688,-3720.015708984375,10353674
149,23564,352,10000.0,0.0,3520000,506583.17339824996,0.001,6013.6268657226565,-3698.9372255859375,10363674
