rollout/ep_len_mean,time/total timesteps,time/episodes,time/fps,rollout/success rate,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
10000.0,10000,1,65,0.0,-6390.657705,152,,,,
10000.0,20000,2,64,0.0,-25507.4632385,308,1.0650852739810943,90,2.6199577331542967,0.001
10000.0,30000,3,64,0.0,-38177.38317,468,1.6709208726882934,190,4.773921108245849,0.001
10000.0,40000,4,63,0.0,-38325.60318775,625,1.0009577870368958,290,4.174002170562744,0.001
10000.0,50000,5,63,0.0,-40707.9176928,784,1.1018728137016296,390,3.968479871749878,0.001
10000.0,60000,6,63,0.0,-42691.79056166667,941,0.9706903159618377,490,4.713133811950684,0.001
10000.0,70000,7,63,0.0,-42399.08100328571,1100,2.1964969396591187,590,5.053628826141358,0.001
10000.0,80000,8,63,0.0,-43656.399331249995,1255,1.7394804418087007,690,5.771463203430176,0.001
10000.0,90000,9,63,0.0,-47092.014904777774,1417,3.33108366727829,790,6.765633869171142,0.001
10000.0,100000,10,63,0.0,-49109.7855858,1577,4.376787745952607,890,7.616227912902832,0.001
10000.0,110000,11,63,0.0,-51954.207799090895,1741,5.357355952262878,990,8.818769645690917,0.001
10000.0,120000,12,63,0.0,-54298.33567049998,1901,3.887392354011536,1090,9.602063179016113,0.001
10000.0,130000,13,63,0.0,-56110.471591923066,2062,3.4354163885116575,1190,11.088205528259277,0.001
10000.0,140000,14,63,0.0,-57894.46122371427,2219,3.651620316505432,1290,11.597965812683105,0.001
10000.0,150000,15,63,0.0,-59064.046843666656,2377,4.483876752853393,1390,12.373404121398925,0.001
10000.0,160000,16,63,0.0,-61711.49937975,2538,2.9655858874320984,1490,14.427297592163086,0.001
10000.0,170000,17,63,0.0,-61209.20786376471,2697,3.6188719511032104,1590,16.09025058746338,0.001
10000.0,180000,18,62,0.0,-62645.120270055566,2858,3.5595871925354006,1690,17.536818313598634,0.001
10000.0,190000,19,62,0.0,-62264.01762505264,3017,3.5637064456939695,1790,17.038100242614746,0.001
10000.0,200000,20,62,0.0,-62782.62726130001,3176,4.077552676200867,1890,20.436991500854493,0.001
10000.0,210000,21,62,0.0,-63470.98073914287,3336,3.826601672172546,1990,21.599638748168946,0.001
10000.0,220000,22,62,0.0,-64240.52171586365,3493,3.5674127101898194,2090,22.541447830200195,0.001
10000.0,230000,23,62,0.0,-64470.267257391315,3651,3.579252552986145,2190,24.637334060668945,0.001
10000.0,240000,24,62,0.0,-64960.21931979167,3810,3.6505600810050964,2290,26.33844909667969,0.001
10000.0,250000,25,63,0.0,-65069.53486876,3967,5.052230095863342,2390,28.130785369873045,0.001
10000.0,260000,26,62,0.0,-65730.81465296153,4127,3.9215707063674925,2490,28.816152572631836,0.001
10000.0,270000,27,62,0.0,-66232.5453747037,4287,3.932763957977295,2590,30.99185447692871,0.001
10000.0,280000,28,62,0.0,-66611.20535260714,4445,3.9267767906188964,2690,33.29343109130859,0.001
10000.0,290000,29,62,0.0,-66186.43805562067,4604,4.0404619693756105,2790,32.68715324401855,0.001
10000.0,300000,30,62,0.0,-66879.62141446666,4763,3.622615098953247,2890,34.47313385009765,0.001
10000.0,310000,31,63,0.0,-66709.12636967741,4920,4.901352834701538,2990,36.347509765625,0.001
10000.0,320000,32,63,0.0,-66298.41191565625,5077,4.891214656829834,3090,37.50667953491211,0.001
10000.0,330000,33,62,0.0,-66133.40686475758,5238,3.985631823539734,3190,36.923583984375,0.001
10000.0,340000,34,63,0.0,-65709.67589967647,5395,4.113335514068604,3290,38.88177719116211,0.001
10000.0,350000,35,63,0.0,-65817.30835585714,5555,5.404473829269409,3390,40.512742614746095,0.001
10000.0,360000,36,62,0.0,-66726.88471016666,5715,7.859742975234985,3490,41.713662719726564,0.001
10000.0,370000,37,62,0.0,-66342.150383,5873,3.831928586959839,3590,43.190025329589844,0.001
10000.0,380000,38,63,0.0,-65944.42511392105,6029,5.015850782394409,3690,44.93780364990234,0.001
10000.0,390000,39,62,0.0,-66727.86518110256,6194,4.369296908378601,3790,44.033860778808595,0.001
10000.0,400000,40,62,0.0,-67499.5961465,6354,4.360933995246887,3890,45.83238906860352,0.001
10000.0,410000,41,62,0.0,-67156.68508543902,6513,4.933682322502136,3990,45.41339950561523,0.001
10000.0,420000,42,62,0.0,-67882.59891845238,6673,4.699935698509217,4090,48.613871002197264,0.001
10000.0,430000,43,62,0.0,-68585.85294467442,6837,4.656374883651734,4190,50.563253784179686,0.001
10000.0,440000,44,62,0.0,-69251.34663302274,6997,5.774555087089539,4290,49.94762344360352,0.001
10000.0,450000,45,62,0.0,-68912.2044576,7159,4.716229343414307,4390,52.84465103149414,0.001
10000.0,460000,46,62,0.0,-68619.2686418913,7319,4.217581439018249,4490,52.54203109741211,0.001
10000.0,470000,47,62,0.0,-68278.56926025533,7478,4.002187657356262,4590,52.44186630249023,0.001
10000.0,480000,48,62,0.0,-68546.30626239582,7638,4.9627961158752445,4690,54.97239379882812,0.001
10000.0,490000,49,62,0.0,-68468.68877612245,7797,4.314304685592651,4790,57.25303726196289,0.001
10000.0,500000,50,62,0.0,-68225.7464663,7956,5.239324474334717,4890,57.240362548828124,0.001
10000.0,510000,51,62,0.0,-68040.56448713725,8119,4.854683494567871,4990,58.03583908081055,0.001
10000.0,520000,52,62,0.0,-67781.98156205768,8280,6.005118417739868,5090,59.251966094970705,0.001
10000.0,530000,53,62,0.0,-67556.78628032075,8438,5.153669667243958,5190,59.38006362915039,0.001
