time/fps,rollout/success rate,rollout/ep_len_mean,time/time_elapsed,time/total timesteps,time/episodes,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss
46,0.0,3562.01,16356,762177,204,-26648.47035681,601582,370.9098996047974,0.001,531.5273321838379
46,0.0,3562.01,16405,766177,205,-26443.812221869997,602177,366.49316206218816,0.001,531.0661536836463
46,0.0,3562.01,16500,770177,206,-26403.939957999995,606177,378.20450158691403,0.001,531.4907452087402
46,0.0,3562.01,16593,774177,207,-26246.39709734,610177,376.62388424682615,0.001,535.429538482666
46,0.0,3562.01,16688,778177,208,-26119.903722140003,614177,375.12249759674074,0.001,536.9883841247558
46,0.0,3527.63,16747,778739,209,-25947.53343912,618177,379.0344381790161,0.001,537.6284813537598
46,0.0,3520.49,16788,782025,210,-25634.656380679993,618739,380.26942747937403,0.001,536.8408294351924
46,0.0,3520.49,16878,786025,211,-25552.650736199997,622025,379.1121408250081,0.001,538.7160879310427
46,0.0,3550.97,16974,790025,212,-25862.344345189995,626025,369.21624822235106,0.001,537.9732953796387
46,0.0,3550.97,17067,794025,213,-25607.756328329997,630025,362.35694887542724,0.001,536.7069772949219
46,0.0,3550.97,17161,798025,214,-25319.625216319997,634025,363.3333816452026,0.001,535.789313446045
46,0.0,3550.97,17255,802025,215,-25196.691886189994,638025,370.79428762817383,0.001,535.1779536743164
46,0.0,3550.97,17350,806025,216,-25119.05531904,642025,376.9615195541382,0.001,536.5298451843262
46,0.0,3590.76,17443,810025,217,-25256.251265159994,646025,382.0965424499512,0.001,538.7808845214844
46,0.0,3586.0,17533,813549,218,-25418.875062369996,650025,377.6708342514038,0.001,540.3575516967774
46,0.0,3613.69,17629,817549,219,-25749.823849079996,653549,389.0925151119167,0.001,542.4715265453741
46,0.0,3613.69,17722,821549,220,-25524.464781,657549,379.2173905181885,0.001,547.0401799316406
46,0.0,3613.69,17814,825549,221,-25150.50992571,661549,392.60124443817136,0.001,548.5382305297852
46,0.0,3588.28,17883,827008,222,-24999.53072992,665549,389.35731713104246,0.001,549.5268540039062
46,0.0,3559.82,17915,828162,223,-24666.33924241,667008,387.17912858279294,0.001,550.714442088506
46,0.0,3559.82,17974,832162,224,-24679.77200219,668162,398.96070491585823,0.001,550.4068641596485
46,0.0,3583.31,18068,836162,225,-24851.87331029,672162,389.0049897155762,0.001,550.4235644836426
46,0.0,3618.69,18165,840162,226,-25242.72897237,676162,383.1577350387573,0.001,548.0420897216796
